proxy_ip,success_rate,status
163.5.128.190:14270,0.14285714285714285,BAD
189.50.45.46:1995,0.14285714285714285,BAD
138.59.151.162:8080,0.14285714285714285,BAD
103.8.59.12:8080,0.14285714285714285,BAD
162.240.154.26:3128,0.2857142857142857,BAD
203.223.89.185:8080,0.14285714285714285,BAD
38.199.71.84:999,0.2857142857142857,BAD
119.148.14.201:60724,0.2857142857142857,BAD
202.169.51.45:8080,0.14285714285714285,BAD
45.238.112.228:56789,0.14285714285714285,BAD
59.153.16.214:20909,0.14285714285714285,BAD
89.19.209.217:31285,0.2857142857142857,BAD
38.194.224.134:1452,0.2857142857142857,BAD
41.191.228.214:8088,0.2857142857142857,BAD
202.5.57.15:11726,0.2857142857142857,BAD
103.211.26.94:80,0.14285714285714285,BAD
200.48.35.122:999,0.14285714285714285,BAD
186.235.123.9:8080,0.42857142857142855,BAD
181.78.217.50:999,0.14285714285714285,BAD
